rownames,PC1,PC2,PC3,PC4
Alabama,0.9855658845031429,-1.1333923777099704,-0.44426878755073057,-0.1562671449197145
Alaska,1.9501377503350237,-1.0732132561684862,2.040003332891594,0.43858343994719357
Arizona,1.7631635397229848,0.7459567806372898,0.05478082432628206,0.8346529243080988
Arkansas,-0.14142028986835561,-1.1197967841835528,0.11457369185336287,0.1828108962931409
California,2.523980126519252,1.542933988658204,0.598556798722446,0.34199647778383935
Colorado,1.5145628611015864,0.9875550851684161,1.0950069920153385,-0.0014648870296906044
Connecticut,-1.358647459854355,1.0889278919061671,-0.643257568830492,0.11846941405021634
Delaware,0.04770930906002437,0.3253589245945992,-0.718632942419992,0.8819776372311078
Florida,3.0130422702872233,-0.03922851328079114,-0.5768294918485933,0.09628475203325972
Georgia,1.6392830428359113,-1.278942402781423,-0.34246007964249625,-1.076796812032269
Hawaii,-0.9126571458975098,1.57046001204312,0.05078189393192063,-0.9028068639842847
Idaho,-1.6397998521634947,-0.21097291737681587,0.25980134213000183,0.4991041005228266
Illinois,1.378910724424147,0.6818411889546515,-0.6774956409220481,0.12202129162790691
Indiana,-0.5054613610809411,0.1515625418044055,0.2280548382831085,-0.4246657004075678
Iowa,-2.253646069668717,0.10405407252158105,0.1645643153847984,-0.01755591570394587
Kansas,-0.7968811212176006,0.27016470482061844,0.025553307209892785,-0.2064964276677284
Kentucky,-0.7508590743892948,-0.9584402863667039,-0.028369416978977418,-0.6705566714645979
Louisiana,1.5648179764124739,-0.8710546550788787,-0.783480358209196,-0.45472803819037294
Maine,-2.396829488074469,-0.37639157593765393,-0.06568238640570853,0.3304598171389084
Maryland,1.7633693885314048,-0.42765519204753943,-0.15725012717797449,0.5590695210950212
Massachusetts,-0.48616628739425854,1.474496496887486,-0.6094974756756809,0.17959896261109645
Michigan,2.1084411500456857,0.15539681882741102,0.3848685839918772,-0.10237201854375945
Minnesota,-1.692681814402121,0.632261250592137,0.15307043437982046,-0.0673168849653049
Mississippi,0.9964944592152487,-2.39379598664439,-0.7408083951017861,-0.21550801326919003
Missouri,0.6967873294659889,0.2633547903369056,0.3774438268690259,-0.22582446116274474
Montana,-1.1854519058635293,-0.5368743715414153,0.24688932112575526,-0.12374222685945506
Nebraska,-1.265636541124358,0.19395372965643395,0.17557390643437856,-0.01589288780251975
Nevada,2.8743945385144167,0.7756001960405295,1.1633804947091835,-0.3145154758451677
New Hampshire,-2.383915409039599,0.018082289694272845,0.03685539316568909,0.033137337583616144
New Jersey,0.18156610964770517,1.449505711943642,-0.7644535511610937,-0.24338269950009753
New Mexico,1.9800237544635002,-0.14284878029386466,0.18369217951291847,0.3395335972313924
New York,1.6825773763086473,0.8231841419538292,-0.6430750930041479,0.013484368886018555
North Carolina,1.1233786063718523,-2.228003376517903,-0.863571787545964,0.9543816674891206
North Dakota,-2.9922256150178637,-0.5991188244604967,0.3012772849410693,0.2539873273093053
Ohio,-0.22596542240792422,0.7422382371319516,-0.031139121518460627,-0.47391591139073236
Oklahoma,-0.3117828550153864,0.28785420568687914,-0.015309792153754408,-0.010332320781212037
Oregon,0.05912207678865956,0.5414114537849993,0.9398329768524907,0.23778068808149377
Pennsylvania,-0.8884158240708345,0.5711003523180993,-0.40062870594253364,-0.35906112376710664
Rhode Island,-0.8637720636082988,1.491978422689908,-1.3699456975736957,0.6135694297763647
South Carolina,1.3207238038158138,-1.9334046625364314,-0.3005377896215333,0.1314666846625664
South Dakota,-1.9877748372893436,-0.8233432410273612,0.38929332906162695,0.10957176404027642
Tennessee,0.9997416844624799,-0.8602513046732803,0.18808294898295613,-0.6528642907541256
Texas,1.3551382068053073,0.41248081905652284,-0.49206885798869743,-0.6431954912419972
Utah,-0.5505652622128179,1.4715046083162624,0.2937280367716916,0.0823140470257167
Vermont,-2.801411740000272,-1.4022880551774668,0.8412630942239046,0.14488991371133159
Virginia,-0.09633491123605022,-0.19973528914291835,0.011712541836605755,-0.21137081319481474
Washington,-0.21690337861604192,0.9701241830707888,0.6248709378885768,0.22084779304980354
West Virginia,-2.1085854076824955,-1.4248467030048808,0.10477467114644307,-0.13190883068394244
Wisconsin,-2.0797141689173246,0.6112686243203195,-0.13886499767541485,-0.18410374303670723
Wyoming,-0.6294266635252048,-0.3210129674652187,-0.24065923369374445,0.16665180070943295
